Num arrays,Check CUDA errors implementation,Runner size [mbyte],Wall clock time [s],Resident set size [mbyte]
10000,CHECK_CUDA_ERRORS_ABORT,5,5968.0,3354
10000,CHECK_CUDA_ERRORS_ABORT_NO_PRINT,5,1597.0,806
10000,CHECK_CUDA_ERRORS_ASSERT,5,1882.0,994
10000,CHECK_CUDA_ERRORS_EXCEPTION,5,15696.0,8335
10000,CHECK_CUDA_ERRORS_EXCEPTION_NO_MESSAGE,5,2684.0,2031
1000,CHECK_CUDA_ERRORS_ABORT,0,627.0,467
1000,CHECK_CUDA_ERRORS_ABORT_NO_PRINT,0,227.0,158
1000,CHECK_CUDA_ERRORS_ASSERT,0,267.0,173
1000,CHECK_CUDA_ERRORS_EXCEPTION,0,914.0,899
1000,CHECK_CUDA_ERRORS_EXCEPTION_NO_MESSAGE,0,305.0,302
100,CHECK_CUDA_ERRORS_ABORT,0,135.0,109
100,CHECK_CUDA_ERRORS_ABORT_NO_PRINT,0,106.0,86
100,CHECK_CUDA_ERRORS_ASSERT,0,115.0,80
100,CHECK_CUDA_ERRORS_EXCEPTION,0,157.0,165
100,CHECK_CUDA_ERRORS_EXCEPTION_NO_MESSAGE,0,123.0,87
50000,CHECK_CUDA_ERRORS_ABORT,26,40718.0,16436
50000,CHECK_CUDA_ERRORS_ABORT_NO_PRINT,26,9987.0,3861
50000,CHECK_CUDA_ERRORS_ASSERT,26,11622.0,5466
50000,CHECK_CUDA_ERRORS_EXCEPTION,26,,
50000,CHECK_CUDA_ERRORS_EXCEPTION_NO_MESSAGE,26,18241.0,10109
5000,CHECK_CUDA_ERRORS_ABORT,2,2942.0,1689
5000,CHECK_CUDA_ERRORS_ABORT_NO_PRINT,2,811.0,494
5000,CHECK_CUDA_ERRORS_ASSERT,2,933.0,542
5000,CHECK_CUDA_ERRORS_EXCEPTION,2,5674.0,4596
5000,CHECK_CUDA_ERRORS_EXCEPTION_NO_MESSAGE,2,1333.0,1014
